Product,Spec,Packing,Loading
Cashew nuts WW320 (AFI),"AFI Standard 2012
- Counter per lb (seeds/lb): 300-320
- Color: white, ivory white 
- Moisture: 5% max
- Broken: 7-8% max
- Lower size: 7-8% max",Vacuum/tin packing,"15MT/20FT
26.5MT/40FT"
Cashew nuts WW240 (AFI),"AFI Standard 2012
- Seeds/lb: 220-240
- Color: white, ivory white 
- Moisture: 5% max
- Broken: 7-8% max
- Lower size: 7-8% max",Vacuum/tin packing,"15MT/20FT
26.5MT/40FT"
Cashew nuts WW210 (AFI),"AFI Standard 2012
- Seeds/lb: 190-210
- Color: white, ivory white 
- Moisture: 5% max
- Broken: 7-8% max
- Lower size: 7-8% max",Vacuum/tin packing,"15MT/20FT
26.5MT/40FT"
Cashew nuts WW180 (AFI),"AFI Standard 2012
- Counter per lb (seeds/lb): 160-180
- Color: white, ivory white 
- Moisture: 5% max
- Broken: 7-8% max
- Lower size: 7-8% max",Vacuum/tin packing,"15MT/20FT
26.5MT/40FT"
SK,,Vacuum ,"13MT/20FT
22MT/40FT"
SL,,Vacuum ,"13MT/20FT
22MT/40FT"
LP,"""AFI Standard 2012
  - Seeds/lb: on sieve 6.3 mm
  - Color: white, ivory white 
  - Moisture: 5% max
 - New crop""",Vacuum ,"13MT/20FT
22MT/40FT"
WS,"AFI 2012 standard
 - Color: white, ivory white 
 - Moisture: 5% max
 - Made from W180 and W210 for WS large size 
- Made from W240 and W320 for WS small size
 - Broken pieces: 7-8% max",Vacuum,"13MT/20FT
22MT/40FT"
Salted and Roasted A180,"AFI Standard 2012
 - Counter per lb (seeds/lb): 160-180
 - Color: white, ivory white 
 - Moisture: 5% max
 - Processing: Salted Roasted ",Jar 500gram,"11MT/20FT
24MT/40FT"
Salted and Roasted A240,"AFI Standard 2012
 - Counter per lb (seeds/lb): 220-240
 - Color: white, ivory white 
 - Moisture: 5% max
 - Processing: Salted Roasted  ",Jar 500gram,"11MT/20FT
24MT/40FT"
Salted and Roasted A320,"AFI Standard 2012
 - Counter per lb (seeds/lb): 300-320
 - Color: white, ivory white 
 - Moisture: 5% max
 - Processing: Salted Roasted ",Jar 500gram,"11MT/20FT
24MT/40FT"
,,,
,,,
Black Pepper 450g/l FAQ,"- Density: 450g/l
- Moisture 13.5% max
- Admixture: 1% max
- Free from mould",25kg/PP bag,"6MT/20FT
15MT/40FT"
Black Pepper 500g/l FAQ,"- Density: 500g/l
- Moisture 13.5% max
- Admixture: 1% max
- Free from mould",25kg/PP bag,"12MT/20FT
25MT/40FT"
Black Pepper 550g/l FAQ,"- Density: 550g/l
- Moisture 13.5% max
- Admixture: 1% max
- Free from mould",25kg/PP bag,"15MT/20FT
28MT/40FT"
Black Pepper 570g/l FAQ,"- Density: 570g/l
- Moisture 13.5% max
- Admixture:1% max
- Free from mould",25kg/PP bag,"15MT/20FT
28MT/40FT"
Black Pepper 500g/l MC,"- Density: 500g/l
- Moisture 12.5% max
- Admixture: 0.5% max
- Free from mould, no stone, no metal",25kg/PP bag,"15MT/20FT
28MT/40FT"
Black Pepper 550g/l MC,"- Density: 550g/l
- Moisture 12.5% max
- Admixture: 0.5% max
- Free from mould, no stone, no metal",25kg/PP bag,"15MT/20FT
28MT/40FT"
Black Pepper 570g/l MC,"- Density: 570g/l
- Moisture 12.5% max
- Admixture: 0.5% max
- Free from mould, no stone, no metal",25kg/PP bag,"15MT/20FT
28MT/40FT"
Black Pepper 5MM BOLD,"- Density: 570g/l- 580g/l, 80% on screen
- Moisture 12.5% max
- Admixture: 0.5% max
- Size: 5mm (80% Min. on sieve)
- Free from mould, no stone, no metal",25kg/PP bag,"15MT/20FT
28MT/40FT"
White Pepper 630g/l,"- Density: 630g/l
- Moisture 13.5% max
- Admixture: 0.5% max
- Black seeds: 2% max
-Free from mould, no stone, no metal",25kg/PP bag,"15MT/20FT
28MT/40FT"
,,,
,,,
Cassia Split Premium,"- Moisture: 13.5% max,
- Length: 35-45 cm,
- Thickness: 0.8mm- 2.0 mm,
- Admixture: 0.5% max
- Not black inside, unmouldy, natural brown colour, thin bark,",10kg/carton,"6MT/20FT
15MT/40FT"
Cassia Pressed Tube Whole Premium (10kg),"- Moisture: 13.5% max, 
- Length: 35-45 cm, 
- Thickness: 0.8mm- 2.5 mm, 
- Admixture: 0.5% max 
- Not black inside, unmouldy, natural brown colour, thin bark,",10kg/carton,"9MT/20FT
18MT/40FT"
Cassia Pressed Tube Whole Premium (25kg),"- Moisture: 13.5% max,
- Length: 30-45 cm,
- Thickness: 1mm-2.5 mm,
- Admixture: 0.5% max
- Not black inside, unmouldy, natural brown colour, thin bark,",25kg/carton,"12MT/20FT
25MT/40FT"
